eng,french
can you make it safe,Pouvezvous vous en sortir saine et sauve
well youve convinced me,Eh bien tu mas convaincu
tom became nervous,Tom devint nerveux
i cant afford to buy anything in this store,Je ne peux pas me permettre dacheter quoi que ce soit dans ce magasin
the early bird catches the worm,Lavenir appartient à ceux qui se lèvent tôt
dont wait up for me,Ne mattendez pas
i just got bitten by a mosquito,Je viens de me faire mordre par un moustique
she asked me what had become of him but i didnt know,Elle ma demandé ce quil était advenu de lui mais je lignorais
lets see whats in the box,Voyons voir ce quil y a dans la boîte
she gets up the earliest in my family,Cest elle qui se lève le plus tôt dans ma famille
i didnt know you had a girlfriend,Jignorais que tu avais une nana
tom was mauled by a dog when he was a kid,Tom a été attaqué par un chien quand il était enfant
most signs are written in english,La plupart des panneaux sont écrits en anglais
i didnt buy them,Je ne les ai pas achetés
drink this juice,Bois ce jus
i didnt hear you come in,Je ne vous ai pas entendues entrer
tom got beat,Tom a été battu
dont worry about that,Ne ten fais pas à propos de ça
is tom jackson your real name,Tom Jackson estil ton vrai nom
we offer lowcost prefabricated houses,Nous proposons des maisons préfabriquées à prix modérés
most snakes on this island are harmless,La plupart des serpents sur cette île sont inoffensifs
she couldnt stop the tears,Elle ne pouvait sempêcher de pleurer
tom reminds me of a boy i used to know,Tom me rappelle un garçon que j’ai connu autrefois
it wouldnt take all that long to explain,Cela ne prendrait pas si longtemps dexpliquer
i dont know where tom is,Je ne sais pas où est Tom
he bought his daughter a dress,Il a acheté une robe à sa fille
theyre trying,Ils essayent
its a shame,Cest dommage
i disobeyed you,Je vous ai désobéi
how many do you see now,Combien en voistu maintenant
we found it here,Nous lavons trouvé ici
i hope the economy picks up soon,Jespère que léconomie se redressera bientôt
trust me on that,Fietoi à moi làdessus
i was very hungry,Javais très faim
i work for mcdonalds,Je travaille chez McDonalds
he is eager to go there,Il désire ardemment y aller
hell be along in ten minutes,Il sera là dans dix minutes
mother bought two bottles of orange juice,Mère a acheté deux bouteilles de jus dorange
lets go this way,Prenons par là
i came looking for you,Je suis venu à ta recherche
whatre you doing here,Que faistu ici
the box was empty when i opened it,La boîte était vide lorsque je lai ouverte
i hear that even taxi drivers often get lost in tokyo,Jai entendu dire que même les chauffeurs de taxi se perdent souvent dans Tokyo
sorry its all my fault,Désolée Tout est de ma faute
this is my grandmother,Cest ma grandmère
im done with you,Jen ai fini de vous
try it,Essayez
i didnt hear anything at all,Je nai rien entendu du tout
im a little curious,Je suis un peu curieux
im starting to get used to living here,Je commence à mhabituer à vivre ici
were expecting lousy weather today,Nous attendons du mauvais temps aujourdhui
frankly im not that impressed with his idea,Franchement je ne suis pas impressionnée par son idée
he is proud of being a doctor,Il est fier d’être médecin
you may have that opportunity,Il se peut que vous disposiez de cette occasion
he arrived shortly after,Il est arrivé un peu après
youre very upset,Vous êtes très contrarié
were investigating it,Nous enquêtons à ce sujet
no one was there,Personne ny était
tom fell apart,Tom sest effondré
how many different pieces are there in japanese chess,Combien de pièces différentes comportent les échecs japonais
she did it again,Elle la fait de nouveau
you should see a doctor,Tu devrais aller voir un médecin
i dont want to talk about the weather,Je ne veux pas parler du temps
we know youre interested,Nous savons que vous êtes intéressée
the situation is grave,La situation est grave
i dont think tom knows why mary went to the hospital,Je ne pense pas que Tom sache pourquoi Mary est allée à lhôpital
he never laughs at my jokes,Il ne rit jamais de mes plaisanteries
she was lounging on the sofa,Elle se prélassait sur le canapé
trying to convince tom will be a waste of time,Essayer de convaincre Tom sera une perte de temps
sometimes i feel like life is passing me by,Quelquefois jai limpression de passer à côté de ma vie
did i interrupt something,Aije interrompu quelque chose
lent is important to catholics,Le Carême est une période importante pour les catholiques
wed better get a move on,Nous ferions mieux de nous bouger
be careful not to drive on the wrong side of the road,Fais attention à ne pas conduire du mauvais côté de la route
you shouldve stayed in boston,Tu aurais dû rester à Boston
im attentive,Je suis attentive
our ancestors came to this country 150 years ago,Nos ancêtres arrivèrent dans ce pays il y a 150 ans
i just got a little carried away,Je me suis un petit peu laissée griser
theyll grow,Ils grandiront
somethings wrong,Quelque chose cloche
youre too suspicious about everything,Tu es trop suspicieuse de tout
she didnt like him at first,Elle ne lapprécia pas au premier abord
im trying to save you,Jessaye de te sauver
the room was very untidy,La pièce était en grand désordre
can you see,Arrivezvous à voir
these new computers can crunch data faster than ever,Ces nouveaux ordinateurs peuvent mouliner les données plus vite que jamais
ive made peace with my maker im ready to die,Jai fait la paix avec mon créateur Je suis prêt à mourir
we need some more water,Il nous faut davantage deau
it wasnt a big deal,Ce nétait pas un gros problème
tom has brown hair,Tom a les cheveux bruns
i am no longer a child,Je ne suis plus un enfant
ive thought of it a lot,Jy ai beaucoup pensé
leave your desk as it is,Laisse ton bureau tel quil est
we shouldnt have gotten up so early,Nous naurions pas dû nous lever si tôt
green suits you,Le vert vous sied bien
im sorry but i already have a boyfriend,Je suis désolée mais jai déjà un mec
i drank tea yesterday,Jai bu du thé hier
she begged for something to drink,Elle quémanda quelque chose à boire
he doesnt go to the office on saturday,Il ne va pas au bureau le samedi
i dont want to get involved,Je ne veux pas être impliqué
please enjoy yourself at the dance,Profitez de la soirée au bal
how do you know how deep the lake is,Comment savezvous quelle profondeur a le lac
ill permit you to go,Je te permettrai dy aller
i caught a bad cold last week,Jai attrapé un mauvais rhume la semaine dernière
i borrowed this comic book from his sister,Jai emprunté cette bande dessinée à sa sœur
when did all this happen,Quand tout cela estil survenu
why are you so hard on yourself,Pourquoi estu si dur avec toimême
does tom still play the guitar,Tom jouetil encore de la guitare
he is always dwelling on the pleasures of the past,Il est constamment perdu dans des pensées nostalgiques
it appears that she might change her mind,Il semble possible quelle change dopinion
i found the earring that you lost,Jai trouvé la boucle doreille que vous aviez perdue
i can hardly hear you,Je tentends avec grandes difficultés
the soviet union launched sputnik i in 1957,LUnion Soviétique lança Spoutnik I en dixneufcentcinquantesept
reading is one of lifes great pleasures,La lecture est lun des grands plaisirs de la vie
lock the safe,Fermez le coffre
he stood all by himself,Il se tenait tout seul
summer days can be very very hot,Les jours dété peuvent être extrêmement chauds
theyre out of town,Ils ne sont pas en ville
a lot of people are waiting to see what is going to happen,Beaucoup de gens attendent de voir ce qui va survenir
i cant take my glasses off,Je ne peux pas enlever mes lunettes
youre smarter than me,Vous êtes plus intelligents que moi
tom seems unable to do that,Tom semble incapable de faire cela
my dog and my cat get along fine,Mon chien et mon chat sentendent bien
blondes earn 7 more than women with any other hair color,Les blondes gagnent sept pour cent de plus que les femmes ayant nimporte quelle autre couleur de cheveux
